Episode,Date,Guests (Himself/Herself - Role),References
2x06,2006-02-24,x9y0q5f5:Dara O'Briain (Himself - Host);b93y6vnu:Jo Brand (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);27y8byz9:Rory Bremner (Himself - Regular);87ulicd3:Jeremy Hardy (Himself);c82x62c0:John Oliver (Himself),
3x01,2006-09-14,x9y0q5f5:Dara O'Briain (Himself - Host);76r85g0g:Gina Yashere (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);i4apt8jq:Clive Anderson (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
3x02,2006-09-21,x9y0q5f5:Dara O'Briain (Himself - Host);lqu3n4lu:Ed Byrne (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);b93y6vnu:Jo Brand (Herself);k47hcr0j:Robin Ince (Himself);bne00n41:Andy Parsons (Himself - Regular),
3x03,2006-09-28,x9y0q5f5:Dara O'Briain (Himself - Host);kb3a51qs:Mark Watson (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);kaj2gy4b:Jon Culshaw (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
3x04,2006-10-05,x9y0q5f5:Dara O'Briain (Himself - Host);kb3a51qs:Mark Watson (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);xdkm2n7q:Ian Stone (Himself);kaj2gy4b:Jon Culshaw (Himself),
3x05,2006-10-12,x9y0q5f5:Dara O'Briain (Himself - Host);76r85g0g:Gina Yashere (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
3x06,2006-10-19,x9y0q5f5:Dara O'Briain (Himself - Host);nf812lji:Adam Hills (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);9e3q4p9k:Mark Steel (Himself);tq4rhgl6:Russell Howard (Himself - Regular),
4x01,2007-01-11,x9y0q5f5:Dara O'Briain (Himself - Host);kb3a51qs:Mark Watson (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);m2nw4eae:David Mitchell (Himself),
4x02,2007-01-18,x9y0q5f5:Dara O'Briain (Himself - Host);xdkm2n7q:Ian Stone (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);kb3a51qs:Mark Watson (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
4x03,2007-01-25,x9y0q5f5:Dara O'Briain (Himself - Host);d9v5vbkt:Shappi Khorsandi (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);bbjlysaj:Fred MacAulay (Himself),
4x04,2007-02-01,x9y0q5f5:Dara O'Briain (Himself - Host);76r85g0g:Gina Yashere (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);lqu3n4lu:Ed Byrne (Himself),
4x05,2007-02-08,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);w4g8xnp5:Rhod Gilbert (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);5eveb8p1:Jo Caulfield (Herself),
5x01,2007-07-12,x9y0q5f5:Dara O'Briain (Himself - Host);l2q1tl1a:Michael McIntyre (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);t5dwdzuc:Jan Ravens (Herself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x02,2007-07-19,x9y0q5f5:Dara O'Briain (Himself - Host);kb3a51qs:Mark Watson (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);5eveb8p1:Jo Caulfield (Herself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x03,2007-07-26,x9y0q5f5:Dara O'Briain (Himself - Host);w4g8xnp5:Rhod Gilbert (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);adwy1gkx:Lauren Laverne (Herself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x04,2007-08-02,x9y0q5f5:Dara O'Briain (Himself - Host);nf812lji:Adam Hills (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);5eveb8p1:Jo Caulfield (Herself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x05,2007-08-09,x9y0q5f5:Dara O'Briain (Himself - Host);a499w0st:Jimmy Tingle (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);m2nw4eae:David Mitchell (Himself),
5x06,2007-08-16,x9y0q5f5:Dara O'Briain (Himself - Host);1r125nr8:Ben Norris (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x07,2007-08-23,x9y0q5f5:Dara O'Briain (Himself - Host);wci88u74:Fiona Allen (Herself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);m2nw4eae:David Mitchell (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x08,2007-08-30,x9y0q5f5:Dara O'Briain (Himself - Host);ea7kakgp:Alun Cochrane (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);lqu3n4lu:Ed Byrne (Himself),
5x09,2007-09-06,x9y0q5f5:Dara O'Briain (Himself - Host);kb3a51qs:Mark Watson (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);5eveb8p1:Jo Caulfield (Herself),
5x10,2007-09-13,x9y0q5f5:Dara O'Briain (Himself - Host);lqu3n4lu:Ed Byrne (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself);76r85g0g:Gina Yashere (Herself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
5x11,2007-09-20,x9y0q5f5:Dara O'Briain (Himself - Host);l2q1tl1a:Michael McIntyre (Himself);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);1r125nr8:Ben Norris (Himself);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
6x01,2008-07-10,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);l2q1tl1a:Michael McIntyre (Himself);pgoexum5:Lucy Porter (Herself),
6x02,2008-07-17,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);6egq5ot8:Stephen K. Amos (Himself);lqu3n4lu:Ed Byrne (Himself),
6x03,2008-07-24,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);hajxdyo5:Greg Davies (Himself);34qt5d7m:Danielle Ward (Herself),
6x04,2008-07-31,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);l2q1tl1a:Michael McIntyre (Himself);kb3a51qs:Mark Watson (Himself),
6x05,2008-08-07,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);jtkbv70w:Zoe Lyons (Herself),
6x06,2008-08-14,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);m2nw4eae:David Mitchell (Himself);nf812lji:Adam Hills (Himself),
6x07,2008-08-21,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);m2nw4eae:David Mitchell (Himself);pgoexum5:Lucy Porter (Herself),
6x08,2008-08-28,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);vj2aqy1m:Greg Proops (Himself);bbjlysaj:Fred MacAulay (Himself),
6x09,2008-09-04,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);adwy1gkx:Lauren Laverne (Herself);l2q1tl1a:Michael McIntyre (Himself),
6x10,2008-09-11,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);318cjy48:Stewart Francis (Himself),
6x11,2008-09-18,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);5ovzrrbh:Adam Bloom (Himself);76r85g0g:Gina Yashere (Herself),
7x01,2009-07-09,x9y0q5f5:Dara O'Briain (Himself - Host);m9jas0rx:Frankie Boyle (Himself - Regular);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);8bduf8ih:Frank Skinner (Himself);76r85g0g:Gina Yashere (Herself),
7x02,2009-07-16,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);w4g8xnp5:Rhod Gilbert (Himself);89e3c8xa:Tom Stade (Himself),
7x03,2009-07-23,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);hajxdyo5:Greg Davies (Himself);pgoexum5:Lucy Porter (Herself),
7x04,2009-07-30,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);nf812lji:Adam Hills (Himself);ea7kakgp:Alun Cochrane (Himself),
7x05,2009-08-06,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);318cjy48:Stewart Francis (Himself);jtkbv70w:Zoe Lyons (Herself),
7x06,2009-08-13,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);318cjy48:Stewart Francis (Himself),
7x07,2009-08-27,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bbjlysaj:Fred MacAulay (Himself);du20ea69:Seann Walsh (Himself),
7x08,2009-09-03,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);xlfikdcz:Holly Walsh (Herself);318cjy48:Stewart Francis (Himself),
7x09,2009-09-10,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);djszfogi:Jack Whitehall (Himself);lqu3n4lu:Ed Byrne (Himself),
7x10,2009-09-17,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);m2nw4eae:David Mitchell (Himself);oxyl45br:Sarah Millican (Herself),
7x11,2009-09-24,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);m2nw4eae:David Mitchell (Himself);xstc1ush:Milton Jones (Himself),
7x12,2009-12-22,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);m9jas0rx:Frankie Boyle (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);318cjy48:Stewart Francis (Himself),
8x01,2010-01-21,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);xstc1ush:Milton Jones (Himself);u9jjmpti:Patrick Kielty (Himself);kb3a51qs:Mark Watson (Himself),
8x02,2010-01-28,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);oxyl45br:Sarah Millican (Herself);j9nk18ol:John Bishop (Himself);y9qap6t1:Chris Addison (Himself - Regular),
8x03,2010-02-04,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);318cjy48:Stewart Francis (Himself);luynjnx4:Andrew Maxwell (Himself);ml47fsgm:Andi Osho (Herself),
8x04,2010-02-11,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);xstc1ush:Milton Jones (Himself);djszfogi:Jack Whitehall (Himself);xlfikdcz:Holly Walsh (Herself),
8x05,2010-02-18,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);h6o9xvx5:Kevin Bridges (Himself);lqu3n4lu:Ed Byrne (Himself);y9qap6t1:Chris Addison (Himself - Regular),
9x01,2010-06-17,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);k56f1us9:Diane Morgan (Herself);xstc1ush:Milton Jones (Himself);y9qap6t1:Chris Addison (Himself - Regular),
9x02,2010-06-24,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);djszfogi:Jack Whitehall (Himself);gujm7gm3:Nik Rabinowitz (Himself);x59zfuf0:Jarred Christmas (Himself),
9x03,2010-07-01,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);66ftg5eh:Micky Flanagan (Himself),
9x04,2010-07-15,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);du20ea69:Seann Walsh (Himself);jtkbv70w:Zoe Lyons (Herself);xstc1ush:Milton Jones (Himself),
9x05,2010-07-22,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);318cjy48:Stewart Francis (Himself),
9x07,2010-09-09,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);tq4rhgl6:Russell Howard (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);ml47fsgm:Andi Osho (Herself);xstc1ush:Milton Jones (Himself);y9qap6t1:Chris Addison (Himself - Regular),
9x08,2010-09-16,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);66ftg5eh:Micky Flanagan (Himself);318cjy48:Stewart Francis (Himself);lcx9zc14:Miles Jupp (Himself),
9x09,2010-09-23,x9y0q5f5:Dara O'Briain (Himself - Host);h6o9xvx5:Kevin Bridges (Himself);xstc1ush:Milton Jones (Himself);1rtqz52s:Russell Kane (Himself);u9jjmpti:Patrick Kielty (Himself);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
9x10,2010-09-30,x9y0q5f5:Dara O'Briain (Himself - Host);y9qap6t1:Chris Addison (Himself - Regular);lg3rn3qw:Carl Donnelly (Himself);ml47fsgm:Andi Osho (Herself);djszfogi:Jack Whitehall (Himself);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
9x11,2010-10-07,x9y0q5f5:Dara O'Briain (Himself - Host);lqu3n4lu:Ed Byrne (Himself);djszfogi:Jack Whitehall (Himself);y9qap6t1:Chris Addison (Himself - Regular);lcx9zc14:Miles Jupp (Himself);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular),
10x01,2011-06-09,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);xstc1ush:Milton Jones (Himself);y9qap6t1:Chris Addison (Himself - Regular);du20ea69:Seann Walsh (Himself);hajxdyo5:Greg Davies (Himself),
10x02,2011-06-16,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);66ftg5eh:Micky Flanagan (Himself);k56f1us9:Diane Morgan (Herself),
10x03,2011-06-23,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);318cjy48:Stewart Francis (Himself);du20ea69:Seann Walsh (Himself);aielzoc4:Ava Vidal (Herself),
10x04,2011-06-30,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);ea7kakgp:Alun Cochrane (Himself);66ftg5eh:Micky Flanagan (Himself);xstc1ush:Milton Jones (Himself);jtkbv70w:Zoe Lyons (Herself),
10x05,2011-07-07,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);66ftg5eh:Micky Flanagan (Himself);xstc1ush:Milton Jones (Himself);djszfogi:Jack Whitehall (Himself),
10x07,2011-09-08,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);4rm30csy:Nathan Caton (Himself);66ftg5eh:Micky Flanagan (Himself);318cjy48:Stewart Francis (Himself),
10x08,2011-09-15,x9y0q5f5:Dara O'Briain (Himself - Host);lcx9zc14:Miles Jupp (Himself);lg3rn3qw:Carl Donnelly (Himself);aielzoc4:Ava Vidal (Herself);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular),
10x09,2011-09-22,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);hajxdyo5:Greg Davies (Himself);ob8tp2nu:Simon Evans (Himself);66ftg5eh:Micky Flanagan (Himself),
10x10,2011-09-29,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);xstc1ush:Milton Jones (Himself);lqu3n4lu:Ed Byrne (Himself);xlfikdcz:Holly Walsh (Herself),
10x11,2011-10-06,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);lqu3n4lu:Ed Byrne (Himself);318cjy48:Stewart Francis (Himself);nf812lji:Adam Hills (Himself),
10x12,2011-10-13,x9y0q5f5:Dara O'Briain (Himself - Host);i5uubaby:Hugh Dennis (Himself - Regular);bne00n41:Andy Parsons (Himself - Regular);y9qap6t1:Chris Addison (Himself - Regular);xstc1ush:Milton Jones (Himself);lcx9zc14:Miles Jupp (Himself);ml47fsgm:Andi Osho (Herself),
