Episode,Date,Guests (Himself/Herself - Role)
5x06,2011-10-14,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Frank Skinner (Himself);Bill Oddie (Himself);Jon Richardson (Himself);Sarah Millican (Herself)
5x07,2011-10-21,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Mackenzie Crook (Himself);Chris Packham (Himself);Victoria Coren (Herself);Rhod Gilbert (Himself)
5x08,2011-10-28,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Lorraine Kelly (Herself);Dara O'Briain (Himself);Barry Cryer (Himself);Sue Perkins (Herself)
6x01,2012-04-13,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Alex Jones (Herself);Alexander Armstrong (Himself);Chris Tarrant (Himself);Mel Giedroyc (Herself)
6x02,2012-04-20,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Richard Madeley (Himself);Sanjeev Bhaskar (Himself);Kate Humble (Herself);Miles Jupp (Himself)
6x03,2012-04-27,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Miranda Hart (Herself);Clare Balding (Herself);Dale Winton (Himself);Richard Bacon (Himself)
6x04,2012-05-04,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Des O'Connor CBE (Himself);Tess Daly (Herself);Rhod Gilbert (Himself);Sally Phillips (Herself)
6x05,2012-05-11,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Andy Hamilton (Himself);Gabby Logan (Herself);Dr Christian Jessen (Himself);Diane Parish (Herself)
6x06,2012-05-18,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Bob Mortimer (Himself);Patsy Kensit (Herself);Greg Davies (Himself);Richard Osman (Himself)
6x07,2012-05-25,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Huw Edwards (Himself);Sarah Millican (Herself);Bradley Walsh (Himself);Josie Lawrence (Herself)
6x08,2012-06-22,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Emily Maitlis (Herself);Jack Whitehall (Himself);Jim Carter (Himself);Armando Iannucci (Himself)
7x01,2013-05-03,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Rhod Gilbert (Himself);Vernon Kay (Himself);Dara O'Briain (Himself);Denise Van Outen (Herself)
7x02,2013-05-10,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Charles Dance (Himself);Stephen Mangan (Himself);Isy Suttie (Herself);Gok Wan (Himself)
7x03,2013-05-17,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Joan Bakewell (Herself);Warwick Davis (Himself);Paul Hollywood (Himself);Jason Manford (Himself)
7x04,2013-05-24,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Matt Dawson (Himself);Mel Giedroyc (Herself);Josh Widdicombe (Himself);Dermot O'Leary (Himself)
7x05,2013-05-31,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Susan Calman (Herself);Richard Osman (Himself);Carol Kirkwood (Herself);David O'Doherty (Himself)
7x06,2013-06-14,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Sarah Millican (Herself);Jon Richardson (Himself);David Harewood (Himself);Bob Mortimer (Himself)
7x07,2013-06-21,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Greg Rutherford MBE (Himself);Kirsty Young (Herself);Joanna Scanlan (Herself);Henning Wehn (Himself)
7x08,2013-06-28,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Jimmy Carr (Himself);Griff Rhys Jones (Himself);Dave Myers (Himself);Susanna Reid (Herself)
8x01,2014-09-12,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Fiona Bruce (Herself);Micky Flanagan (Himself);Steve Jones (Himself);Claudia Winkleman (Herself)
8x02,2014-09-19,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Bruno Tonioli (Himself);Adam Buxton (Himself);Kirsty Wark (Herself);Rob Beckett (Himself)
8x03,2014-09-26,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Bob Mortimer (Himself);Mel Giedroyc (Herself);Adil Ray (Himself);Kian Egan (Himself)
8x04,2014-10-03,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Miles Jupp (Himself);Heston Blumenthal OBE (Himself);Emilia Fox (Herself);Ed Byrne (Himself)
8x05,2014-10-10,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Rhod Gilbert (Himself);Kelly Hoppen MBE (Herself);Carol Vorderman (Herself);Hal Cruttenden (Himself)
8x06,2014-10-17,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Gareth Malone OBE (Himself);Amanda Abbington (Herself);Richard Osman (Himself);Phill Jupitus (Himself)
8x07,2014-10-24,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Jo Brand (Herself);Roisin Conaty (Herself);Paul Foot (Himself);Ray Mears (Himself)
8x08,2015-02-18,Rob Brydon (Himself - Host);Lee Mack (Himself - Team Captain);David Mitchell (Himself - Team Captain);Seann Walsh (Himself);Adrian Chiles (Himself);June Brown (Herself);Aisling Bea (Herself)
